index,forest_length,likelihood,prior,posterior,leaves
609,0.897736,-2447.81,-13.9237,-2461.73,"{t2|t3|t4}|{t1}"
610,0.881697,-2449.89,-13.9266,-2463.81,"{t2|t3|t4}|{t1}"
611,0.574345,-2192.02,-13.9307,-2205.95,"{t1|t2|t4}|{t3}"
612,1.10429,-2550.59,-13.9278,-2564.51,"{t1|t3|t4}|{t2}"
613,0.958079,-2447.63,-13.9288,-2461.56,"{t2|t3|t4}|{t1}"
614,1.06567,-2550.76,-13.9246,-2564.69,"{t1|t3|t4}|{t2}"
615,0.56456,-2190.13,-13.932,-2204.06,"{t1|t2|t4}|{t3}"
616,0.982533,-2447.05,-13.9342,-2460.98,"{t2|t3|t4}|{t1}"
617,0.643982,-2191.19,-13.9334,-2205.13,"{t1|t2|t4}|{t3}"
618,1.11057,-2552.24,-13.9285,-2566.16,"{t1|t3|t4}|{t2}"
619,1.00271,-2322.55,-13.9393,-2336.49,"{t1|t2|t3}|{t4}"
620,0.555303,-2188.97,-13.9311,-2202.91,"{t1|t2|t4}|{t3}"
621,1.0419,-2447.59,-13.9353,-2461.53,"{t2|t3|t4}|{t1}"
622,0.636356,-2191.44,-13.9325,-2205.37,"{t1|t2|t4}|{t3}"
623,0.920621,-2447.89,-13.9237,-2461.81,"{t2|t3|t4}|{t1}"
624,0.973248,-2554.41,-13.9159,-2568.33,"{t1|t3|t4}|{t2}"
625,1.16792,-2552.18,-13.933,-2566.12,"{t1|t3|t4}|{t2}"
626,0.914066,-2322.72,-13.9305,-2336.65,"{t1|t2|t3}|{t4}"
627,0.951012,-2447.45,-13.9309,-2461.38,"{t2|t3|t4}|{t1}"
628,0.84639,-2324.67,-13.9209,-2338.59,"{t1|t2|t3}|{t4}"
629,0.950977,-2448.44,-13.9303,-2462.37,"{t2|t3|t4}|{t1}"
630,0.96281,-2450.91,-13.9294,-2464.84,"{t2|t3|t4}|{t1}"
631,1.07808,-2552.24,-13.9247,-2566.16,"{t1|t3|t4}|{t2}"
632,0.925596,-2336.95,-13.923,-2350.87,"{t3|t4}|{t1|t2}"
633,0.995704,-2323.71,-13.9344,-2337.65,"{t1|t2|t3}|{t4}"
634,1.12709,-2550.87,-13.9307,-2564.8,"{t1|t3|t4}|{t2}"
635,0.918992,-2447.73,-13.9254,-2461.65,"{t2|t3|t4}|{t1}"
636,1.06642,-2551.73,-13.9228,-2565.66,"{t1|t3|t4}|{t2}"
637,0.95455,-2342.42,-13.9273,-2356.35,"{t3|t4}|{t1|t2}"
638,0.574763,-2188.81,-13.925,-2202.74,"{t1|t2|t4}|{t3}"
639,0.842525,-2324.34,-13.9234,-2338.26,"{t1|t2|t3}|{t4}"
640,0.960596,-2446.84,-13.9289,-2460.77,"{t2|t3|t4}|{t1}"
641,0.981179,-2323.5,-13.9358,-2337.44,"{t1|t2|t3}|{t4}"
642,1.01965,-2336.17,-13.9297,-2350.1,"{t3|t4}|{t1|t2}"
643,0.980771,-2338.84,-13.9274,-2352.76,"{t3|t4}|{t1|t2}"
644,1.08828,-2551.28,-13.9262,-2565.21,"{t1|t3|t4}|{t2}"
645,1.1419,-2550.31,-13.933,-2564.25,"{t1|t3|t4}|{t2}"
646,0.904687,-2325.5,-13.9317,-2339.43,"{t1|t2|t3}|{t4}"
647,0.514253,-2191.12,-13.9149,-2205.04,"{t1|t2|t4}|{t3}"
648,1.04129,-2449.84,-13.9405,-2463.78,"{t2|t3|t4}|{t1}"
649,0.950019,-2337.94,-13.9256,-2351.87,"{t3|t4}|{t1|t2}"
650,1.03895,-2448,-13.9356,-2461.93,"{t2|t3|t4}|{t1}"
651,1.13154,-2549.98,-13.9308,-2563.91,"{t1|t3|t4}|{t2}"
652,0.964909,-2322.8,-13.936,-2336.74,"{t1|t2|t3}|{t4}"
653,1.07774,-2552.15,-13.9266,-2566.08,"{t1|t3|t4}|{t2}"
654,0.838235,-2339.94,-13.9149,-2353.85,"{t3|t4}|{t1|t2}"
655,1.08149,-2336.7,-13.937,-2350.63,"{t3|t4}|{t1|t2}"
656,0.973742,-2447.1,-13.9253,-2461.02,"{t2|t3|t4}|{t1}"
657,0.858167,-2324.42,-13.9254,-2338.35,"{t1|t2|t3}|{t4}"
658,0.961726,-2336.88,-13.9225,-2350.81,"{t3|t4}|{t1|t2}"
659,0.954181,-2447.93,-13.9284,-2461.86,"{t2|t3|t4}|{t1}"
660,0.93419,-2323.82,-13.9278,-2337.75,"{t1|t2|t3}|{t4}"
661,0.53562,-2189.13,-13.9186,-2203.05,"{t1|t2|t4}|{t3}"
662,0.973805,-2336.46,-13.9264,-2350.39,"{t3|t4}|{t1|t2}"
663,0.925526,-2322.73,-13.9244,-2336.66,"{t1|t2|t3}|{t4}"
664,1.17409,-2552.39,-13.9349,-2566.32,"{t1|t3|t4}|{t2}"
665,0.83907,-2326.46,-13.923,-2340.38,"{t1|t2|t3}|{t4}"
666,0.950067,-2448.37,-13.9309,-2462.3,"{t2|t3|t4}|{t1}"
667,0.612102,-2189,-13.9416,-2202.94,"{t1|t2|t4}|{t3}"
668,0.986907,-2336.23,-13.9256,-2350.15,"{t3|t4}|{t1|t2}"
669,0.995578,-2337.37,-13.926,-2351.29,"{t3|t4}|{t1|t2}"
670,0.955997,-2323.91,-13.9337,-2337.85,"{t1|t2|t3}|{t4}"
671,0.950418,-2556.21,-13.9119,-2570.12,"{t1|t3|t4}|{t2}"
672,1.03982,-2552.34,-13.9216,-2566.26,"{t1|t3|t4}|{t2}"
673,1.10878,-2549.95,-13.9276,-2563.87,"{t1|t3|t4}|{t2}"
674,0.677926,-2192.2,-13.9311,-2206.14,"{t1|t2|t4}|{t3}"
675,1.03674,-2324.44,-13.9409,-2338.38,"{t1|t2|t3}|{t4}"
676,0.603479,-2188.7,-13.9402,-2202.64,"{t1|t2|t4}|{t3}"
677,1.07879,-2550.9,-13.9265,-2564.83,"{t1|t3|t4}|{t2}"
678,0.859567,-2450.33,-13.9238,-2464.26,"{t2|t3|t4}|{t1}"
679,0.979522,-2323.82,-13.9372,-2337.75,"{t1|t2|t3}|{t4}"
680,0.568705,-2188.64,-13.9323,-2202.57,"{t1|t2|t4}|{t3}"
681,1.03973,-2336.76,-13.928,-2350.69,"{t3|t4}|{t1|t2}"
682,0.61878,-2189.77,-13.9306,-2203.7,"{t1|t2|t4}|{t3}"
683,1.08056,-2551.54,-13.9244,-2565.47,"{t1|t3|t4}|{t2}"
684,0.555039,-2189.14,-13.9364,-2203.07,"{t1|t2|t4}|{t3}"
685,0.94452,-2336.64,-13.9227,-2350.56,"{t3|t4}|{t1|t2}"
686,0.519364,-2190.02,-13.9242,-2203.95,"{t1|t2|t4}|{t3}"
687,1.18599,-2549.44,-13.9368,-2563.38,"{t1|t3|t4}|{t2}"
688,0.865241,-2324.26,-13.9198,-2338.18,"{t1|t2|t3}|{t4}"
689,1.02308,-2323.52,-13.9414,-2337.46,"{t1|t2|t3}|{t4}"
690,0.952972,-2336.68,-13.9243,-2350.6,"{t3|t4}|{t1|t2}"
691,0.938812,-2336.82,-13.9213,-2350.75,"{t3|t4}|{t1|t2}"
692,1.0131,-2336.24,-13.9334,-2350.17,"{t3|t4}|{t1|t2}"
693,1.01686,-2336.23,-13.9304,-2350.16,"{t3|t4}|{t1|t2}"
694,0.895935,-2338.02,-13.9151,-2351.93,"{t3|t4}|{t1|t2}"
695,0.966373,-2446.86,-13.93,-2460.79,"{t2|t3|t4}|{t1}"
696,1.00022,-2336.16,-13.9272,-2350.08,"{t3|t4}|{t1|t2}"
697,0.963211,-2336.69,-13.9231,-2350.61,"{t3|t4}|{t1|t2}"
698,0.892483,-2323.25,-13.926,-2337.18,"{t1|t2|t3}|{t4}"
699,0.977717,-2446.82,-13.9327,-2460.75,"{t2|t3|t4}|{t1}"
700,1.04003,-2336.4,-13.9308,-2350.33,"{t3|t4}|{t1|t2}"
