index,forest_length,likelihood,prior,posterior,merged_leaves
48,0.204129,-1025.1,-2.30799,-1027.41,2
49,0.180445,-1025.66,-2.31361,-1027.97,2
50,0.187256,-1025.37,-2.31615,-1027.68,2
51,0.507459,-1497.8,-2.32834,-1500.13,3
52,0.905481,-1631.59,-2.31265,-1633.91,3
53,0.604352,-1496.93,-2.32795,-1499.26,3
54,0.85679,-1631.16,-2.31183,-1633.47,3
55,1.03314,-1860.75,-2.30336,-1863.06,3
56,1.15465,-1856.66,-2.30349,-1858.97,3
57,0.989898,-1629.99,-2.31349,-1632.3,3
58,0.193808,-1025.19,-2.31115,-1027.5,2
59,0.668579,-1497.81,-2.33414,-1500.15,3
60,1.1259,-1632.83,-2.31419,-1635.15,3
61,0.992209,-2336.33,-4.6234,-2340.95,4
62,0.964482,-1755.27,-2.31424,-1757.59,3
63,0.628434,-1497.42,-2.32875,-1499.75,3
64,0.219911,-1025.36,-2.31693,-1027.68,2
65,0.903776,-1754.34,-2.30963,-1756.65,3
66,0.955319,-2336.51,-4.61764,-2341.12,4
67,1.11873,-1859.8,-2.30382,-1862.1,3
68,0.569681,-1497.41,-2.32847,-1499.74,3
69,1.12535,-1857.47,-2.30361,-1859.78,3
70,1.04114,-1858.52,-2.30316,-1860.82,3
71,0.894341,-1629.84,-2.31175,-1632.15,3
72,0.563381,-1495.51,-2.33266,-1497.85,3
73,0.58858,-1496.3,-2.33433,-1498.64,3
74,0.202525,-1025.1,-2.31465,-1027.41,2
75,0.932044,-1754.28,-2.31153,-1756.6,3
76,0.91129,-1632.34,-2.31447,-1634.65,3
77,1.01253,-1631.79,-2.31062,-1634.1,3
78,0.637359,-1497.5,-2.32884,-1499.83,3
79,1.01684,-2336.87,-4.61843,-2341.49,4
80,0.226416,-1025.59,-2.31443,-1027.91,2
81,1.00982,-2336.52,-4.62021,-2341.14,4
82,0.595317,-1496.38,-2.33324,-1498.71,3
83,1.16085,-1856.86,-2.30292,-1859.17,3
84,1.17035,-1857.19,-2.30323,-1859.5,3
85,0.981599,-1754.5,-2.31146,-1756.82,3
86,0.528686,-1496.04,-2.32745,-1498.37,3
87,1.16302,-1858.37,-2.30449,-1860.68,3
88,0.867837,-1630.47,-2.31443,-1632.79,3
89,0.870989,-1632.56,-2.3129,-1634.87,3
90,0.960997,-1753.84,-2.31316,-1756.15,3
91,0.839689,-1759.46,-2.31255,-1761.77,3
92,0.202989,-1025.1,-2.3144,-1027.41,2
93,0.945585,-1629.51,-2.31078,-1631.82,3
94,1.103,-1857.66,-2.30355,-1859.96,3
95,0.19862,-1025.12,-2.31583,-1027.43,2
96,1.16575,-1858.03,-2.30374,-1860.33,3
97,1.05513,-1631.18,-2.31374,-1633.5,3
98,1.01503,-1630.03,-2.31077,-1632.35,3
99,1.07591,-2336.67,-4.62394,-2341.29,4
100,0.797537,-1634.55,-2.31398,-1636.87,3
101,0.882987,-1630.05,-2.31477,-1632.36,3
102,0.605178,-1496.29,-2.33057,-1498.62,3
103,0.21879,-1025.33,-2.31789,-1027.64,2
104,1.11813,-1857.06,-2.30337,-1859.36,3
105,0.193011,-1025.2,-2.31342,-1027.52,2
106,1.18611,-1859.19,-2.30287,-1861.49,3
107,1.11355,-1858.12,-2.3034,-1860.43,3
108,1.03357,-1754.21,-2.31215,-1756.52,3
109,1.06431,-2336.68,-4.61578,-2341.3,4
110,0.881011,-1629.49,-2.31593,-1631.81,3
111,0.891343,-2338.07,-4.61754,-2342.69,4
112,0.982736,-2336.58,-4.61586,-2341.2,4
113,1.07444,-2336.64,-4.61481,-2341.26,4
114,0.86487,-1630.79,-2.31346,-1633.1,3
115,0.20689,-1025.11,-2.31673,-1027.43,2
116,0.9948,-2338.22,-4.61638,-2342.84,4
117,1.07069,-1859.09,-2.30271,-1861.39,3
118,0.529178,-1496.2,-2.33273,-1498.53,3
119,1.06376,-1857.92,-2.30294,-1860.22,3
120,1.05834,-1631.8,-2.31182,-1634.11,3
121,0.93893,-2336.71,-4.62419,-2341.33,4
122,0.935167,-1753.9,-2.31138,-1756.21,3
123,0.12674,-1033.14,-2.31356,-1035.45,2
124,0.585267,-1495.32,-2.32971,-1497.65,3
125,1.04044,-1754.76,-2.31243,-1757.07,3
126,0.962779,-1755.06,-2.31143,-1757.38,3
127,1.07281,-2336.67,-4.61986,-2341.29,4
128,0.973951,-1633.05,-2.31787,-1635.37,3
129,0.532311,-1495.97,-2.33659,-1498.31,3
130,0.959238,-2336.43,-4.61921,-2341.04,4
131,0.984513,-1631.94,-2.3113,-1634.26,3
132,1.03123,-2336.38,-4.61524,-2340.99,4
133,0.875351,-1630.07,-2.31207,-1632.38,3
134,1.02994,-2337.23,-4.62021,-2341.85,4
135,0.619711,-1495.76,-2.33464,-1498.1,3
136,0.186266,-1025.4,-2.31664,-1027.72,2
137,0.882109,-1630.67,-2.31045,-1632.98,3
138,1.06442,-2339.88,-4.61879,-2344.5,4
139,0.232541,-1025.87,-2.31603,-1028.19,2
140,0.198516,-1025.12,-2.31864,-1027.44,2
141,1.06258,-2336.59,-4.62243,-2341.22,4
142,0.91474,-1629.4,-2.31617,-1631.72,3
143,0.946895,-1755.92,-2.31258,-1758.23,3
144,0.967532,-1631.83,-2.31126,-1634.14,3
145,0.211717,-1025.17,-2.31638,-1027.48,2
146,0.572808,-1495.69,-2.33286,-1498.02,3
