index,forest_length,likelihood,prior,posterior,leaves
116,3.03691,-5004.12,-41.7935,-5045.91,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
117,3.41964,-5054.18,-41.7965,-5095.98,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
118,3.18831,-5039.57,-41.7811,-5081.35,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
119,3.51293,-5374.69,-41.7996,-5416.49,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
120,3.43452,-5314.5,-41.8033,-5356.3,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
121,3.13284,-5029.64,-41.7806,-5071.42,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
122,3.22479,-5088.05,-41.782,-5129.83,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
123,3.38685,-5124.13,-41.7883,-5165.92,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
124,3.13129,-5042.34,-41.7731,-5084.11,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
125,3.1264,-5092.42,-41.7704,-5134.19,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
126,3.36313,-5236.36,-41.7995,-5278.16,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
127,3.08554,-5058.18,-41.7855,-5099.97,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
128,3.61366,-5455.1,-41.8089,-5496.91,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
129,3.27664,-5127.05,-41.7963,-5168.84,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
130,2.97192,-5051.85,-41.782,-5093.63,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
131,3.43417,-5451.69,-41.7915,-5493.48,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
132,3.14415,-5041.73,-41.7783,-5083.51,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
133,3.09619,-5367.21,-41.7627,-5408.97,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
134,3.23387,-5086.32,-41.7859,-5128.11,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
135,3.16507,-5112.28,-41.7938,-5154.08,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
136,3.27198,-5124.5,-41.7764,-5166.28,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
137,3.41988,-5449.92,-41.7898,-5491.71,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
138,2.98327,-5054.13,-41.7804,-5095.91,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
139,3.13631,-5102.06,-41.7813,-5143.84,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
140,3.14023,-5103.05,-41.7829,-5144.83,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
141,2.95607,-5049.49,-41.7798,-5091.27,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
142,3.50804,-5362.19,-41.8059,-5404,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
143,3.25812,-5232.91,-41.7855,-5274.7,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
144,3.15105,-5361.36,-41.7686,-5403.13,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
